id,title,address,img_url
82,"페리토 에스프레소 바","대전광역시 유성구 계룡로74번길 54 페리토에스프레소바 1층",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Wtb8bNDHC8kA1noyJTbamA&amp;cb_client=search.gws-prod.gps&amp;w=408&amp;h=240&amp;yaw=232.97093&amp;pitch=0&amp;thumbfov=100
83,코튼래빗,폐업,https://lh5.googleusercontent.com/p/AF1QipODu2sAGLgsTS65_UP4Jb3dLKaXECiIwlC-HhVZ=w408-h306-k-no
84,"스타벅스 대전엑스포스카이","대전광역시 유성구 엑스포로 1 신세계엑스포점 38층",https://lh5.googleusercontent.com/p/AF1QipOgayg-S4_XuMpP_irMTyOki21vCNZl8q9EFtcD=w408-h272-k-no
85,탭그라운드,"대전광역시 중구 은행동 48-2",https://lh5.googleusercontent.com/p/AF1QipOeRdVeUUk6rHNQ--QaWUyoBLmbp8RDlXdFPuRm=w408-h544-k-no
86,사무실카페,"대전광역시 중구 대흥동 대종로452번길 3 2층",https://lh5.googleusercontent.com/p/AF1QipMl062KG086zOY_O0JPINXP7D1YnBCAuVj5P81F=w408-h408-k-no
87,"카페 조각구름","대전광역시 동구 208-3",https://lh5.googleusercontent.com/p/AF1QipPiHA2doGH3_vQqACfywE3b9MoZ6hg0SW1wYJ_3=w408-h306-k-no
88,"스타벅스 월평트레이더스","대전광역시 서구 월평동 510",https://lh5.googleusercontent.com/p/AF1QipNf5yxRho6JwsRZrNnAyR3oFq0VfClcV-kFBP4C=w408-h306-k-no
89,시즈더포슬,"대전광역시 유성구 관평동 931 1층",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=KPYucyysUmnoXOTeMHwjGQ&amp;cb_client=search.gws-prod.gps&amp;w=408&amp;h=240&amp;yaw=297.60364&amp;pitch=0&amp;thumbfov=100
90,포크커피,"대전광역시 서구 계룡로407번길 33",https://lh5.googleusercontent.com/p/AF1QipMU0Ju_DyBdEgrzkNLIOJb0GOdDH0w0FcoMyfTY=w408-h404-k-no
91,동방커피,"대전광역시 서구 괴정동 427 9번지",https://lh5.googleusercontent.com/p/AF1QipPF1dpeLKoVADnAOHtgXX511iDgffprkFpBXyyZ=w493-h240-k-no
92,투썸플레이스,NULL,
93,"리리컬 디저트","대전광역시 서구 갈마동 812",https://lh5.googleusercontent.com/p/AF1QipMdzoW9LTRAZjJUkegmOVm-Q7Mk1OdjzJIWVkTd=w408-h407-k-no
94,몰리에르,"대전광역시 유성구 도룡동 380-33",https://lh5.googleusercontent.com/p/AF1QipOIzN2OlmXLuVw4TpRHn6NTzf3YbsxA1zeoDpeu=w408-h544-k-no
95,넥터린,NULL,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=e9sC9BBfM5sx0Sz6PuAuBg&amp;cb_client=search.gws-prod.gps&amp;w=408&amp;h=240&amp;yaw=290.26224&amp;pitch=0&amp;thumbfov=100
96,조은차마시는사람들,"대전광역시 유성구 원신흥동 544-1",https://lh5.googleusercontent.com/p/AF1QipO_wbBNFKHgtavLXsGxA4QbWLp3QRHkIWOvqgAS=w408-h306-k-no
97,"브알라 대전도룡","대전광역시 유성구 엑스포로 151번길 19, E114-115gh",https://lh5.googleusercontent.com/p/AF1QipOf3v8VIxlFjjZIHtoGmtrA03J_ii15Kj-X6-K3=w408-h306-k-no
98,호즈,NULL,
99,빈이어,"대전광역시 서구 계룡로 399 2층",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=jjvTrBfGHKgttyQTmOhu3A&amp;cb_client=search.gws-prod.gps&amp;w=408&amp;h=240&amp;yaw=4.1974034&amp;pitch=0&amp;thumbfov=100
100,"스타벅스 대전용문DT","대전광역시 서구 용문동 SK주유소",https://lh5.googleusercontent.com/p/AF1QipP1mkRqz2q4hw1YC8E4kQjnh-zgtOavBavJ3fso=w493-h240-k-no
